A001	同学们 今天我们讲商鞅变法
A002	战国时期
A003	政治风云变幻莫测
A004	波谲云诡
A005	但是变法
A006	始终是这个时代最强音
A007	你看
A008	魏国的李克
A009	也叫李悝
A0010	楚国吴起的变法
A0011	韩国韩昭侯时代申不害的变法
A0012	还有秦孝公 商鞅变法
A0013	都是在国君的支持下
A0014	力行变革现实的伟大事件
A0015	重要事件
A0016	但是只有商鞅变法影响深远
A0017	它不但奠定了秦国统一的根基
A0018	制度根基
A0019	而且对两千多年
A0020	中国的政治
A0021	社会都产生了深远的影响
A0022	谭嗣同说
A0023	两千年的政治 秦政也
A0024	毛泽东也讲
A0025	百代皆行秦法政
A0026	秦政就是商鞅时代变法的政治
A0027	秦孝公是秦献公第二个儿子
A0028	叫赢渠梁
A0029	秦献公是一个
A0030	励精图治的国君
A0031	可惜享年不永
A0032	他觉得大儿子不行
A0033	就把位子传给了二儿子
A0034	秦孝公即位的时候非常年轻
A0035	但他致力于国家的改革
A0036	想恢复秦穆公时代的霸业
A0037	春秋五霸中的一霸就是秦穆公
A0038	所以 商鞅就是这个时期来到
A0039	秦国的
A0040	讲到秦国的历史
A0041	有三个大的事件
A0042	第一个就是
A0043	公元前770年前后
A0044	当时由于周幽王烽火戏诸侯
A0045	被戎狄所杀
A0046	他的儿子周平王东迁
A0047	西周的镐京已经是一片废墟了
A0048	秦国的祖先
A0049	护送平王东迁有功
A0050	秦的祖先
A0051	本来是周王室的大夫
A0052	这个时候就由西陲大夫
A0053	升格为诸侯
A0054	秦始建国
A0055	可以说
A0056	秦建国是比较晚的
A0057	比起晋国 齐国 燕国来说晚
A0058	一百年之后
A0059	秦穆公称霸
A0060	称霸的标志就是
A0061	一方面采纳
A0062	戎王的一个大臣叫由余
A0063	灭掉很多戎狄小国
A0064	历史上叫开地千里
A0065	又用中原地区的蹇叔
A0066	百里奚等
A0067	吸收中原文化
A0068	最后发展成为仅次于
A0069	晋国 楚国 齐国的二等强国
A0070	第三个变化就是
A0071	在三百年之后
A0072	秦孝公用商鞅变法
A0073	商鞅本来叫卫鞅
A0074	他跟吴起都是卫国人
A0075	不过他是卫国宗室的庶出
A0076	所以又叫公孙鞅
A0077	就是卫国国君的孙这一辈的
A0078	最初
A0079	在魏国的公叔痤门下跑腿
A0080	公叔痤是魏武侯时候的相
A0081	就是挤走吴起的那位仁兄
A0082	在魏惠王
A0083	即魏武侯儿子的时期当相
A0084	商鞅就在公孙痤手下当侍从官
A0085	当时叫中庶子
A0086	魏惠王八年
A0087	公孙痤曾率魏国大军
A0088	击败韩赵联军
A0089	魏惠王亲自郊迎
A0090	公叔痤谦逊地说
A0091	我军的胜利不是我的功劳
A0092	全赖当年吴起培养的勇猛善战的武卒
A0093	这句迟到的公道话
A0094	为吴起的后人带来二十万亩土地的赏赐
